76\才\cái\ability; talent; endowment; gift; an expert; only (then); only if; just
77\材料\cáiliào\material; data; makings; stuff; CL:個|个[gè],種|种[zhǒng]
78\菜\cài\dish (type of food); vegetables; vegetable; cuisine; CL:盤|盘[pán],道[dào]
79\菜单\càidān\menu; CL:份[fèn],張|张[zhāng]
80\参观\cānguān\to look around; to inspect; visit and observe
81\参加\cānjiā\to participate; to take part; to join
82\草\cǎo\grass; straw; manuscript; draft (of a document); careless; rough; CL:棵[kē],撮[zuǒ],株[zhū],根[gēn]
83\层\céng\layer; stratum; laminated; floor (of a building); storey; classifier for layers; repeated; sheaf (math.)
84\茶\chá\tea; tea plant; CL:杯[bēi],壺|壶[hú]
85\差\chà\differ from; short of; to lack; poor
86\差不多\chàbuduō\almost; nearly; more or less
87\尝\cháng\to taste; flavor; (past tense marker); already; formerly; ever; once; test
88\长\cháng\length; long; forever; always; constantly
89\长城\chángchéng\the Great Wall
90\长江\chángjiāng\Changjiang river; Yangtze river
91\场\chǎng\large place used for a specific purpose; stage; scene (of a play); classifier for sporting or recreational activities; classifier for number of exams
92\唱歌\chànggē\to sing a song
93\超过\chāoguò\to surpass; to exceed; to outstrip
94\超市\chāoshì\supermarket (abbr.); CL:家[jiā]
95\吵\chǎo\to quarrel; to make a noise; noisy; to disturb by making a noise
96\衬衫\chènshān\shirt; blouse; CL:件[jiàn]
97\成功\chénggōng\success; to succeed; CL:次[cì],個|个[gè]
98\成绩\chéngjì\achievement; performance records; grades; CL:項|项[xiàng],個|个[gè]
99\成熟\chéngshú\mature; ripe; Taiwan pr. chéng shóu
100\成为\chéngwéi\to become; to turn into
101\诚实\chéngshí\honest; honesty; honorable; truthful
102\城市\chéngshì\city; town; CL:座[zuò]
103\乘坐\chéngzuò\to ride (in a vehicle)
104\吃\chī\to eat; to have one's meal; to eradicate; to destroy; to absorb; to suffer; to exhaust
105\吃惊\chījīng\to be startled; to be shocked; to be amazed
106\迟到\chídào\to arrive late
107\重新\chóngxīn\again; once more; re-
108\抽烟\chōuyān\to smoke (a cigarette, tobacco)
109\出\chū\to go out; to come out; to occur; to produce; to go beyond; to rise; to put forth; to happen; classifier for dramas, plays, operas etc
110\出差\chūchāi\to go on an official or business trip
111\出发\chūfā\to start out; to set off
112\出生\chūshēng\to be born
113\出现\chūxiàn\to appear; to arise; to emerge; to show up
114\出租车\chūzūchē\taxi
115\厨房\chúfáng\kitchen; CL:間|间[jiān]
116\除了\chúle\besides; apart from (... also...); in addition to; except (for)
117\穿\chuān\to bore through; pierce; perforate; penetrate; pass through; to dress; to wear; to put on; to thread
118\船\chuán\a boat; vessel; ship; CL:條|条[tiáo],艘[sōu],隻|只[zhī]
119\传真\chuánzhēn\fax; facsimile
120\窗户\chuānghu\window; CL:個|个[gè],扇[shàn]
121\春\chūn\spring (time); gay; joyful; youthful; love; lust; life
122\词典\cídiǎn\dictionary (of Chinese compound words); also written 辭典|辞典[cí diǎn]; CL:部[bù],本[běn]
123\词语\cíyǔ\word (general term including monosyllables through to short phrases); term (e.g. technical term); expression
124\次\cì\next in sequence; second; the second (day, time etc); secondary; vice-; sub-; infra-; inferior quality; substandard; order; sequence; hypo- (chemistry); classifier for enumerated events: time
125\聪明\cōngming\acute (of sight and hearing); clever; intelligent; bright; smart
126\从\cóng\from; via; passing through; through (a gap); past; ever (followed by negative, meaning never); (formerly pr. zòng and related to 縱|纵) to follow; to comply with; to obey; to join; to engage in; adopting some mode of action or attitude; follower; retainer; accessory; accomplice; related by common paternal grandfather or earlier ancestor; surname Cong
127\从来\cónglái\always; at all times; never (if used in negative sentence)
128\粗心\cūxīn\careless; thoughtless
129\错\cuò\mistake; error; blunder; fault; cross; uneven; wrong; CL:個|个[gè]
130\答案\dáàn\answer; solution; CL:個|个[gè]
131\打扮\dǎban\to decorate; to dress; to make up; to adorn; manner of dressing; style of dress
132\打电话\dǎdiànhuà\to make a telephone call
133\打篮球\dǎlánqiú\play basketball
134\打扰\dǎrǎo\to disturb; to bother; to trouble
135\打扫\dǎsǎo\to clean; to sweep
136\打算\dǎsuàn\to plan; to intend; to calculate; plan; intention; calculation; CL:個|个[gè]
137\打印\dǎyìn\to print; to seal; to stamp
138\打折\dǎzhé\to give a discount
139\打针\dǎzhēn\to give or have an injection
140\大\dà\big; huge; large; major; great; wide; deep; oldest; eldest
141\大概\dàgài\roughly; probably; rough; approximate; about
142\大家\dàjiā\authority; everyone
143\大使馆\dàshǐguǎn\embassy; CL:座[zuò],個|个[gè]
144\大约\dàyuē\approximately; about
145\带\dài\band; belt; girdle; ribbon; tire; area; zone; region; CL:條|条[tiáo]; to wear; to carry; to lead; to bring; to look after; to raise
146\戴\dài\to put on or wear (glasses, hat, gloves etc); to respect; to bear; to support
147\代表\dàibiǎo\representative; delegate; CL:位[wèi],個|个[gè],名[míng]; to represent; to stand for; on behalf of; in the name of
148\代替\dàitì\instead; to replace; to substitute (X for Y, or a number in an algebraic expression)
149\大夫\dàifu\doctor; minister of state (in pre-Han states); CL:個|个[gè],位[wèi]
150\担心\dānxīn\anxious; worried; uneasy; to worry; to be anxious
151\蛋糕\dàngāo\cake; CL:塊|块[kuài],個|个[gè]
152\但是\dànshì\but; however
153\当\dāng\to be; to act as; manage; withstand; when; during; ought; should; match equally; equal; same; obstruct; just at (a time or place); on the spot; right; just at
154\当地\dāngdì\local
155\当然\dāngrán\only natural; as it should be; certainly; of course; without doubt
156\当时\dāngshí\then; at that time; while
157\刀\dāo\knife; CL:把[bǎ]
158\导游\dǎoyóu\tour guide; to conduct a tour; a guidebook
159\到\dào\to (a place); until (a time); up to; to go; to arrive
160\到处\dàochù\in all places; everywhere
161\到底\dàodǐ\finally; in the end; when all is said and done; after all; to the end; to the last
162\道歉\dàoqiàn\to apologize; to make an apology
163\得意\déyì\proud of oneself; pleased with oneself; complacent
164\地\de\-ly; structural particle: used before a verb or adjective, linking it to preceding modifying adverbial adjunct
166\的\de\of; structural particle: used before a noun, linking it to preceding possessive or descriptive attributive
166\得\de\structural particle: used after a verb (or adjective as main verb), linking it to following phrase indicating effect, degree, possibility etc
167\得\děi\to have to; must; ought to; to need to
168\灯\dēng\lamp; light; lantern; CL:盞|盏[zhǎn]
169\等\děng\wait for; await
170\等\děng\et cetera; and so on; et al. (and other authors); after; as soon as; once
171\低\dī\low; beneath; to lower (one's head); to let droop; to hang down; to incline
172\底\dǐ\background; bottom; base; the end of a period of time; towards the end of (last month)
173\弟弟\dìdi\younger brother; CL:個|个[gè],位[wèi]
174\地方\dìfāng\region; regional (away from the central administration)
175\地球\dìqiú\the Earth; planet; CL:個|个[gè]
176\地铁\dìtiě\subway; metro
177\地图\dìtú\map; CL:張|张[zhāng],本[běn]
178\地址\dìzhǐ\address; CL:個|个[gè]
179\第一\dìyī\first; number one
180\点\diǎn\drop (of liquid); stain; spot; speck; jot; dot stroke (in Chinese characters); decimal point; point; mark (of degree or level); a place (with certain characteristics); iron bell; o’clock; a little; a bit; some; (point) unit of measurement for type; to touch on briefly; to make clear; to light; to ignite; to kindle; period of time at night (24 minutes) (old); a drip; to dibble; classifier for small indeterminate quantities
181\电脑\diànnǎo\computer; CL:臺|台[tái]
182\电视\diànshì\television; TV; CL:臺|台[tái],個|个[gè]
183\电梯\diàntī\elevator; CL:臺|台[tái],部[bù]
184\电影\diànyǐng\movie; film; CL:部[bù],片[piàn],幕[mù],場|场[chǎng]
185\电子邮件\diànzǐyóujiàn\electronic mail; email; CL:封[fēng]
186\掉\diào\to fall; to drop; to lag behind; to lose; to go missing; to reduce; fall (in prices); to lose (value, weight etc); to wag; to swing; to turn; to change; to exchange; to swap; to show off; to shed (hair)
187\调查\diàochá\investigation; inquiry; to investigate; to survey; survey; (opinion) poll; CL:項|项[xiàng],個|个[gè]
188\丢\diū\to lose; to put aside; to throw
189\冬\dōng\winter
190\东\dōng\east; host (i.e. sitting on east side of guest); landlord; surname Dong
191\东西\dōngxi\thing; stuff; person; CL:個|个[gè],件[jiàn]
192\懂\dǒng\to understand; to know
193\动物\dòngwù\animal; CL:隻|只[zhī],群[qún],個|个[gè]
194\动作\dòngzuò\movement; motion; action; CL:個|个[gè]
195\都\dōu\all, both; entirely (due to) each; even; already
196\读\dú\to read; to study; reading of word (i.e. pronunciation), similar to 拼音[pīn yīn]
197\堵车\dǔchē\traffic jam; choking
198\肚子\dùzi\belly; abdomen; stomach; CL:個|个[gè]
199\短\duǎn\short or brief; to lack; weak point; fault
200\段\duàn\paragraph; section; segment; stage (of a process); classifier for stories, periods of time, lengths of thread etc
201\断\duàn\to break; to snap; to cut off; to give up or abstain from sth; to judge; (usu. used in the negative) absolutely, definitely,decidedly
202\锻炼\duànliàn\to engage in physical exercise; to toughen; to temper
203\对\duì\couple; pair; to be opposite; to oppose; to face; versus; for; to; correct (answer); to answer; to reply; to direct (towards sth); right
204\对\duì\(介词)to; for
205\对不起\duìbuqǐ\unworthy; to let down; I'm sorry; excuse me; pardon me; if you please; sorry? (please repeat)
206\对话\duìhuà\dialog; CL:個|个[gè]
207\对面\duìmiàn\opposite
208\顿\dùn\stop; pause; to arrange; to lay out; to kowtow; to stamp; at once; classifier for meals, beating, tellings off etc: time, bout, spell, meal
209\多\duō\many; much; a lot of; numerous; multi-
210\多么\duōme\how (wonderful etc); what (a great idea etc); however (difficult it may be etc)
211\多少\duōshǎo\number; amount; somewhat
212\朵\duǒ\flower; earlobe; fig. item on both sides; classifier for flowers, clouds etc
213\饿\è\to be hungry; hungry
214\而\ér\and; as well as; and so; but (not); yet (not); (indicates causal relation); (indicates change of state); (indicates contrast)
215\而且\érqiě\(not only ...) but also; moreover; in addition; furthermore
216\儿童\értóng\child; CL:個|个[gè]
217\儿子\érzi\son
218\耳朵\ěrduo\ear; CL:隻|只[zhī],個|个[gè],對|对[duì]
219\二\èr\two; 2; stupid (Beijing dialect)
220\发\fā\to send out; to show (one's feeling); to issue; to develop; classifier for gunshots (rounds)
221\发烧\fāshāo\have a high temperature (from illness); have a fever
222\发生\fāshēng\to happen; to occur; to take place; to break out
223\发现\fāxiàn\to find; to discover
224\发展\fāzhǎn\development; growth; to develop; to grow; to expand
225\法律\fǎlǜ\law; CL:條|条[tiáo], 套[tào], 個|个[gè]
226\翻译\fānyì\to translate; to interpret; translator; interpreter; translation; interpretation; CL:個|个[gè],位[wèi],名[míng]
227\烦恼\fánnǎo\agonize; agony; annoyance; upset; vexation; worries
228\反对\fǎnduì\to fight against; to oppose; to be opposed to; opposition
229\反应\fǎnyìng\to mirror; to reflect; mirror image; reflection; fig. to report; to make known; to render; used erroneously for 反應|反应, response or reaction
230\饭馆\fànguǎn\restaurant; CL:家[jiā]
231\范围\fànwéi\range; scope; limit; extent; CL:個|个[gè]
232\方便\fāngbiàn\convenient; to help out; to make things easy for people; convenience; suitable; having money to spare; (euphemism) to go to the toilet
233\方法\fāngfǎ\method; way; means; CL:個|个[gè]
234\方面\fāngmiàn\respect; aspect; field; side; CL:個|个[gè]
235\方向\fāngxiàng\direction; orientation; path to follow; CL:個|个[gè]
236\房间\fángjiān\room; CL:間|间[jiān]
237\访问\fǎngwèn\to visit; to call on; to interview; CL:次[cì]
238\放\fàng\to release; to free; to let go; to put; to place; to let out; to set off (fireworks)
239\放弃\fàngqì\to renounce; to abandon; to give up
240\放暑假\fàngshǔjià\take summer vacation
241\放心\fàngxīn\to set one's mind at rest; to be at ease; to rest
242\非常\fēicháng\unusual; extraordinary; extreme; very; exceptional
243\飞机\fēijī\airplane; CL: 架[jià]
244\分\fēn\to divide; to separate; to allocate; to distinguish (good and bad); part or subdivision; fraction; one tenth (of certain units); unit of length equivalent to 0.33 cm; minute; a point (in sports or games); 0.1 yuan (unit of money)
245\…分之…\fēnzhī\used for fractions and percentages, e.g. 四分之一 is 1/4 and 百分之一 is 1%
246\分钟\fēnzhōng\minute
247\份\fèn\part; share; portion; copy; classifier for gifts, newspaper, magazine, papers, reports, contracts etc
248\丰富\fēngfù\rich; plentiful; abundant
249\风景\fēngjǐng\scenery; landscape; CL:個|个[gè]
250\否则\fǒuzé\if not; otherwise; else; or else
251\符合\fúhé\in keeping with; in accordance with; tallying with; in line with; to agree with; to accord with; to conform to; to correspond with; to manage; to handle
252\服务员\fúwùyuán\waiter; waitress; attendant; customer service personnel; CL:個|个[gè]
253\富\fù\rich; surname Fu
254\附近\fùjìn\(in the) vicinity; nearby; neighboring; next to
255\父亲\fùqīn\father; also pr. with light tone [fù qin]; CL:個|个[gè]
256\复习\fùxí\to revise; to review; revision; CL:次[cì]
257\复印\fùyìn\to photocopy; to duplicate a document
258\复杂\fùzá\complicated; complex
259\负责\fùzé\to be in charge of; to take responsibility for; to be to blame; conscientious
260\改变\gǎibiàn\to change; to alter; to transform
261\干杯\gānbēi\to drink a toast; Cheers! (proposing a toast); Here's to you!; Bottoms up!; lit. dry cup
262\干净\gānjìng\clean; neat
263\干燥\gānzào\to dry (of weather, paint, cement etc); desiccation; dull; uninteresting; arid
264\敢\gǎn\to dare; daring; (polite) may I venture
265\感动\gǎndòng\to move (sb); to touch (sb emotionally); moving
266\感觉\gǎnjué\to feel; to become aware of; feeling; sense; perception; CL:個|个[gè]
267\感冒\gǎnmào\to catch cold; (common) cold; CL:場|场[cháng],次[cì]
268\感情\gǎnqíng\feeling; emotion; sensation; likes and dislikes; deep affection for sb or sth; relationship (i.e. love affair); CL:個|个[gè],種|种[zhǒng]
269\感谢\gǎnxiè\(express) thanks; gratitude; grateful; thankful; thanks
270\干\gān\to work; to do; to manage
271\刚才\gāngcái\just now; a moment ago
272\刚刚\gānggang\just recently; just a moment ago
273\高\gāo\high; tall; above average; loud; your (honorific); surname Gao
274\高级\gāojí\high level; high grade; advanced; high-ranking
275\高兴\gāoxìng\happy; glad; willing (to do sth); in a cheerful mood
276\告诉\gàosu\to tell; to inform; to let know
277\哥哥\gēge\older brother; CL:個|个[gè],位[wèi]
278\各\gè\each; every
279\个\gè\individual; this; that; size; classifier for people or objects in general
280\个子\gèzi\height; stature; build; size
281\给\gěi\to; for; for the benefit of; to give; to allow; to do sth (for sb); (passive particle)
282\跟\gēn\heel; to follow closely; to go with; to marry sb (of woman); with; towards; as (compared to); from (different from); and (in addition to)
283\根据\gēnjù\according to; based on; basis; foundation; CL:個|个[gè]
284\更\gēng\to change or replace; to experience; one of the five two hour periods into which the night was formerly divided; watch (eg of a sentry or guard)
285\公共汽车\gōnggòngqìchē\bus; CL:輛|辆[liàng],班[bān]
286\公斤\gōngjīn\kilogram (kg)
287\公里\gōnglǐ\kilometer
288\公司\gōngsī\(business) company; company; firm; corporation; incorporated; CL:家[jiā]
289\公园\gōngyuán\public park; CL:場|场[chǎng]
290\工具\gōngjù\tool; instrument; utensil; means (to achieve a goal etc)
291\工资\gōngzī\wages; pay; CL:個|个[gè],份[fèn],月[yuè]
292\工作\gōngzuò\job; work; construction; task; CL:個|个[gè],份[fèn],項|项[xiàng]
293\共同\gòngtóng\common; joint; jointly; together; collaborative
294\狗\gǒu\dog; CL:隻|只[zhī],條|条[tiáo]
295\够\gòu\to reach; to be enough
296\购物\gòuwù\shopping
297\孤单\gūdān\lone; lonely; loneliness
298\估计\gūjì\to estimate; to reckon; CL:個|个[gè]
299\鼓励\gǔlì\to encourage
300\鼓掌\gǔzhǎng\to applaud; to clap
301\顾客\gùkè\client; customer; CL:位[wèi]
302\故事\gùshì\old practice; CL:個|个[gè]
303\故意\gùyì\deliberately; on purpose
304\刮风\guāfēng\to be windy
305\挂\guà\to hang or suspend (from a hook etc); (of a telephone call) to hang up; to be worried or concerned; to make a phone call (topolect); to register or record; to hitch; classifier for sets or clusters of objects
306\关\guān\mountain pass; to close; to shut; to turn off; to concern; to involve
307\关键\guānjiàn\crucial point; crux; CL:個|个[gè]; key; crucial; pivotal
308\关系\guānxì\relation; relationship; to concern; to affect; to have to do with; guanxi; CL:個|个[gè]
309\关心\guānxīn\to care for sth; caring; concerned
310\关于\guānyú\pertaining to; concerning; regarding; with regards to; about; a matter of
311\观众\guānzhòng\spectators; audience; visitors (to an exhibition etc)
312\管理\guǎnlǐ\to supervise; to manage; to administer; management; administration; CL:個|个[gè]
313\光\guāng\light; ray; CL:道[dào]; bright; only; merely; to use up
314\广播\guǎngbō\broadcast; widely spread; CL:個|个[gè]
315\广告\guǎnggào\to advertise; a commercial; advertisement; CL:項|项[xiàng]
316\逛\guàng\to stroll; to visit
317\规定\guīdìng\provision; to fix; to set; to formulate; to stipulate; to provide; regulation; rule; CL:個|个[gè]
318\贵\guì\expensive; noble; your (name); precious
319\国际\guójì\international
320\国家\guójiā\country; nation; state; CL:個|个[gè]
321\果然\guǒrán\really; sure enough; as expected
322\果汁\guǒzhī\fruit juice
323\过\guò\to cross; to go over; to pass (time); to celebrate (a holiday); to live; to get along; excessively; too-; surname Guo
324\过\guò\助词 (indicates a past action or state, 动词+过)
325\过程\guòchéng\course of events; process; CL:個|个[gè]
326\过去\guòqu\(in the) past; former; previous; to go over; to pass by
327\还\hái\still; still in progress; still more; yet; even more; in addition; fairly; passably (good); as early as; even; also; else
328\还是\háishì\or; still; nevertheless
329\孩子\háizi\child
330\海洋\hǎiyáng\ocean; CL:個|个[gè]
331\害怕\hàipà\to be afraid; to be scared
332\害羞\hàixiū\blush; shy
333\寒假\hánjià\winter vacation
334\汗\hàn\perspiration; sweat; CL:滴[dī],頭|头[tóu],身[shēn]; Khan (Persian or Mongol king or emperor); Khan (name); to be speechless (out of helplessness, embarrassment etc) (Internet slang used as an interjection)
335\汉语\hànyǔ\Chinese language; CL:門|门[mén]
336\航班\hángbān\scheduled flight; flight number; plane; scheduled sailing; sailing number; passenger ship
337\好\hǎo\good; well; proper; good to; easy to; very; so; (suffix indicating completion or readiness)
338\好吃\hǎochī\tasty; delicious
339\好处\hǎochu\benefit; advantage; gain; profit; also pronounced hǎo chù; CL:個|个[gè]
340\好像\hǎoxiàng\as if; to seem like
341\号\hào\day of a month; (suffix used after) name of a ship; (ordinal) number
342\号码\hàomǎ\number; CL:堆[duī],個|个[gè]
343\喝\hē\to drink; to shout (a command); My goodness!
344\和\hé\and; together with; with; sum; union; peace; harmony; surname He; Japanese related; Taiwan pr. hàn
345\河\hé\river; CL:條|条[tiáo],道[dào]
346\合格\hégé\qualified; meeting a standard; eligible (voter)
347\合适\héshì\suitable; fitting; decent; to fit
348\盒子\hézi\case
349\黑\hēi\black; dark; abbr. for Heilongjiang 黑龍江|黑龙江 province in northeast China
350\黑板\hēibǎn\blackboard; CL:塊|块[kuài],個|个[gè]
351\很\hěn\(adverb of degree); quite; very; awfully
352\红\hóng\bonus; popular; red; revolutionary
353\猴子\hóuzi\monkey; CL:隻|只[zhī]
354\厚\hòu\thick; deep or profound; kind; generous; rich or strong in flavor; to favor; to stress
355\后悔\hòuhuǐ\to regret; to repent
356\后来\hòulái\afterwards; later
357\后面\hòumian\rear; back; behind; later; afterwards
358\忽然\hūrán\suddenly; all of a sudden
359\护士\hùshi\nurse; CL:個|个[gè]
360\护照\hùzhào\passport; CL:本[běn],個|个[gè]
361\互相\hùxiāng\each other; mutually; mutual
362\花\huā\flower; blossom; fancy pattern; CL:朵[duǒ],支[zhī],束[shù],把[bǎ],盆[pén],簇[cù]; to spend (money, time); surname Hua
363\花园\huāyuán\garden; CL:座[zuò],個|个[gè]
364\画\huà\to draw; picture; painting; CL:幅[fú],張|张[zhāng]
365\怀疑\huáiyí\to doubt; to suspect; doubt; suspicion; skeptical
366\坏\huài\bad; spoiled; broken; to break down
367\欢迎\huānyíng\to welcome; welcome
368\还\huán\to pay back; to return; surname Huan
369\环境\huánjìng\environment; circumstances; surroundings; CL:個|个[gè]; ambient
370\换\huàn\change; exchange
371\黄\huáng\yellow; pornographic; to fall through
372\回\huí\to circle; to go back; to turn around; to answer; to return; to revolve; Hui ethnic group (Chinese Muslims); time; classifier for acts of a play; section or chapter (of a classic book)
373\回答\huídá\to reply; to answer; the answer; CL:個|个[gè]
374\回忆\huíyì\to recall; recollection; CL:個|个[gè]
375\会\huì\can; be possible; be able to; will; be likely to; be sure to; to assemble; to meet; to gather; to see; union; group; association; CL:個|个[gè]; a moment (Taiwan pr. for this sense is huǐ)
376\会议\huìyì\meeting; conference; CL:場|场[chǎng],屆|届[jiè]
377\活动\huódòng\to exercise; to move about; to operate; activity; loose; shaky; active; movable; maneuver; to use connections; CL:項|项[xiàng],個|个[gè]
378\活泼\huópo\lively; vivacious; brisk; active
379\火\huǒ\fire; CL:把[bǎ]
380\火车站\huǒchēzhàn\train station
381\获得\huòdé\to obtain; to receive; to get
382\或者\huòzhě\or; possibly; maybe; perhaps
383\机场\jīchǎng\airport; airfield; CL:家[jiā],處|处[chù]
384\机会\jīhuì\opportunity; chance; occasion; CL:個|个[gè]
385\基础\jīchǔ\base; foundation; basis; underlying; CL:個|个[gè]
386\鸡蛋\jīdàn\(chicken) egg; hen's egg; CL:個|个[gè],打[dá]
387\激动\jīdòng\to excite; to agitate; exciting
388\几乎\jīhū\almost; nearly; practically
389\积极\jījí\active; energetic; vigorous; positive (outlook); proactive
390\积累\jīlěi\to accumulate; accumulation; cumulative; cumulatively
391\极\jí\extremely; pole (geography, physics); utmost; top
392\极其\jíqí\extremely
393\集合\jíhé\a congregation; to gather; a set
394\及时\jíshí\in time; promptly; without delay; timely
395\即使\jíshǐ\even if; even though; given that
396\几\jǐ\how much; how many; several; a few
397\寄\jì\to live (in a house); to lodge; to mail; to send; to entrust; to depend
398\记得\jìde\to remember
399\记者\jìzhě\reporter; journalist; CL:個|个[gè]
400\计划\jìhuà\plan; project; program; to plan; to map out; CL:個|个[gè],項|项[xiàng]
401\季节\jìjié\time; season; period; CL:個|个[gè]
402\既然\jìrán\since; as; this being the case
403\技术\jìshù\technology; technique; skill; CL:門|门[mén],種|种[zhǒng],項|项[xiàng]
404\继续\jìxù\to continue; to proceed with; to go on with
405\家\jiā\home; family; classifier for families or businesses; refers to the philosophical schools of pre-Han China; noun suffix for specialists in some activity such as musician or revolutionary, corresponds to English -ist, -er, -ary or -ian; surname Jia; CL:個|个[gè]
406\家具\jiājù\furniture; CL:件[jiàn],套[tào]
407\加班\jiābān\to work overtime
408\加油站\jiāyóuzhàn\gas station
409\假\jiǎ\fake; false; artificial; to borrow; if; suppose
410\价格\jiàgé\price; CL:個|个[gè]
411\坚持\jiānchí\to continue upholding; to remain committed to; persistence; to persist; to uphold; to insist on; persevere
