number\chinese\pinyin\translations
37\别人\biérén\other people; others; other person
38\宾馆\bīnguǎn\guesthouse; CL:個|个[gè],家[jiā]
39\冰箱\bīngxiāng\icebox; freezer cabinet; refrigerator; CL:臺|台[tái],個|个[gè]
40\不客气\búkèqi\you're welcome; impolite; rude; blunt; don't mention it
41\不\bù\(negative prefix); not; no
42\才\cái\ability; talent; endowment; gift; an expert; only (then); only if; just
43\菜\cài\dish (type of food); vegetables; vegetable; cuisine; CL:盤|盘[pán],道[dào]
44\菜单\càidān\menu; CL:份[fèn],張|张[zhāng]
45\参加\cānjiā\to participate; to take part; to join
46\草\cǎo\grass; straw; manuscript; draft (of a document); careless; rough; CL:棵[kē],撮[zuǒ],株[zhū],根[gēn]
47\层\céng\layer; stratum; laminated; floor (of a building); storey; classifier for layers; repeated; sheaf (math.)
48\茶\chá\tea; tea plant; CL:杯[bēi],壺|壶[hú]
49\差\chà\differ from; short of; to lack; poor
50\长\cháng\length; long; forever; always; constantly
51\唱歌\chànggē\to sing a song
52\超市\chāoshì\supermarket (abbr.); CL:家[jiā]
53\衬衫\chènshān\shirt; blouse; CL:件[jiàn]
54\成绩\chéngjì\achievement; performance records; grades; CL:項|项[xiàng],個|个[gè]
55\城市\chéngshì\city; town; CL:座[zuò]
56\吃\chī\to eat; to have one's meal; to eradicate; to destroy; to absorb; to suffer; to exhaust
57\迟到\chídào\to arrive late
58\出\chū\to go out; to come out; to occur; to produce; to go beyond; to rise; to put forth; to happen; classifier for dramas, plays, operas etc
59\出现\chūxiàn\to appear; to arise; to emerge; to show up
60\出租车\chūzūchē\taxi
61\厨房\chúfáng\kitchen; CL:間|间[jiān]
62\除了\chúle\besides; apart from (... also...); in addition to; except (for)
63\穿\chuān\to bore through; pierce; perforate; penetrate; pass through; to dress; to wear; to put on; to thread
64\船\chuán\a boat; vessel; ship; CL:條|条[tiáo],艘[sōu],隻|只[zhī]
65\春\chūn\spring (time); gay; joyful; youthful; love; lust; life
66\词语\cíyǔ\word (general term including monosyllables through to short phrases); term (e.g. technical term); expression
67\次\cì\next in sequence; second; the second (day, time etc); secondary; vice-; sub-; infra-; inferior quality; substandard; order; sequence; hypo- (chemistry); classifier for enumerated events: time
68\聪明\cōngming\acute (of sight and hearing); clever; intelligent; bright; smart
69\从\cóng\from; via; passing through; through (a gap); past; ever (followed by negative, meaning never); (formerly pr. zòng and related to 縱|纵) to follow; to comply with; to obey; to join; to engage in; adopting some mode of action or attitude; follower; retainer; accessory; accomplice; related by common paternal grandfather or earlier ancestor; surname Cong
70\错\cuò\mistake; error; blunder; fault; cross; uneven; wrong; CL:個|个[gè]
71\打电话\dǎdiànhuà\to make a telephone call
72\打篮球\dǎlánqiú\play basketball
73\打扫\dǎsǎo\to clean; to sweep
74\打算\dǎsuàn\to plan; to intend; to calculate; plan; intention; calculation; CL:個|个[gè]
75\大\dà\big; huge; large; major; great; wide; deep; oldest; eldest
76\大家\dàjiā\authority; everyone
77\带\dài\band; belt; girdle; ribbon; tire; area; zone; region; CL:條|条[tiáo]; to wear; to carry; to lead; to bring; to look after; to raise
78\担心\dānxīn\anxious; worried; uneasy; to worry; to be anxious
79\蛋糕\dàngāo\cake; CL:塊|块[kuài],個|个[gè]
80\但是\dànshì\but; however
81\当然\dāngrán\only natural; as it should be; certainly; of course; without doubt
82\到\dào\to (a place); until (a time); up to; to go; to arrive
83\地\de\-ly; structural particle: used before a verb or adjective, linking it to preceding modifying adverbial adjunct
84\的\de\of; structural particle: used before a noun, linking it to preceding possessive or descriptive attributive
85\得\de\structural particle: used after a verb (or adjective as main verb), linking it to following phrase indicating effect, degree, possibility etc
86\灯\dēng\lamp; light; lantern; CL:盞|盏[zhǎn]
87\等\děng\to wait for; to await
88\低\dī\low; beneath; to lower (one's head); to let droop; to hang down; to incline
89\弟弟\dìdi\younger brother; CL:個|个[gè],位[wèi]
90\地方\dìfāng\region; regional (away from the central administration)
91\地铁\dìtiě\subway; metro
92\地图\dìtú\map; CL:張|张[zhāng],本[běn]
93\第一\dìyī\first; number one
94\点\diǎn\drop (of liquid); stain; spot; speck; jot; dot stroke (in Chinese characters); decimal point; point; mark (of degree or level); a place (with certain characteristics); iron bell; o’clock; a little; a bit; some; (point) unit of measurement for type; to touch on briefly; to make clear; to light; to ignite; to kindle; period of time at night (24 minutes) (old); a drip; to dibble; classifier for small indeterminate quantities
95\电脑\diànnǎo\computer; CL:臺|台[tái]
96\电视\diànshì\television; TV; CL:臺|台[tái],個|个[gè]
97\电梯\diàntī\elevator; CL:臺|台[tái],部[bù]
98\电影\diànyǐng\movie; film; CL:部[bù],片[piàn],幕[mù],場|场[chǎng]
99\电子邮件\diànzǐyóujiàn\electronic mail; email; CL:封[fēng]
100\东\dōng\east; host (i.e. sitting on east side of guest); landlord; surname Dong
101\东西\dōngxi\thing; stuff; person; CL:個|个[gè],件[jiàn]
102\冬\dōng\winter
103\懂\dǒng\to understand; to know
104\动物\dòngwù\animal; CL:隻|只[zhī],群[qún],個|个[gè]
105\都\dōu\all, both; entirely (due to) each; even; already
106\读\dú\to read; to study; reading of word (i.e. pronunciation), similar to 拼音[pīn yīn]
107\短\duǎn\short or brief; to lack; weak point; fault
108\段\duàn\paragraph; section; segment; stage (of a process); classifier for stories, periods of time, lengths of thread etc
109\锻炼\duànliàn\to engage in physical exercise; to toughen; to temper
110\对\duì\couple; pair; to be opposite; to oppose; to face; versus; for; to; correct (answer); to answer; to reply; to direct (towards sth); right
111\对不起\duìbuqǐ\unworthy; to let down; I'm sorry; excuse me; pardon me; if you please; sorry? (please repeat)
112\多\duō\many; much; a lot of; numerous; multi-
113\多么\duōme\how (wonderful etc); what (a great idea etc); however (difficult it may be etc)
114\多少\duōshǎo\number; amount; somewhat
115\饿\è\to be hungry; hungry
116\而且\érqiě\(not only ...) but also; moreover; in addition; furthermore
117\儿子\érzi\son
118\耳朵\ěrduo\ear; CL:隻|只[zhī],個|个[gè],對|对[duì]
119\二\èr\two; 2; stupid (Beijing dialect)
120\发烧\fāshāo\have a high temperature (from illness); have a fever
121\发现\fāxiàn\to find; to discover
122\饭馆\fànguǎn\restaurant; CL:家[jiā]
123\方便\fāngbiàn\convenient; to help out; to make things easy for people; convenience; suitable; having money to spare; (euphemism) to go to the toilet
124\房间\fángjiān\room; CL:間|间[jiān]
125\放\fàng\to release; to free; to let go; to put; to place; to let out; to set off (fireworks)
126\放心\fàngxīn\to set one's mind at rest; to be at ease; to rest
127\非常\fēicháng\unusual; extraordinary; extreme; very; exceptional
128\飞机\fēijī\airplane; CL: 架[jià]
129\分\fēn\to divide; to separate; to allocate; to distinguish (good and bad); part or subdivision; fraction; one tenth (of certain units); unit of length equivalent to 0.33 cm; minute; a point (in sports or games); 0.1 yuan (unit of money)
130\分钟\fēnzhōng\minute
131\服务员\fúwùyuán\waiter; waitress; attendant; customer service personnel; CL:個|个[gè]
132\附近\fùjìn\(in the) vicinity; nearby; neighboring; next to
133\复习\fùxí\to revise; to review; revision; CL:次[cì]
134\干净\gānjìng\clean; neat
135\敢\gǎn\to dare; daring; (polite) may I venture
136\感冒\gǎnmào\to catch cold; (common) cold; CL:場|场[cháng],次[cì]
137\刚才\gāngcái\just now; a moment ago
138\高\gāo\high; tall; above average; loud; your (honorific); surname Gao
139\高兴\gāoxìng\happy; glad; willing (to do sth); in a cheerful mood
140\告诉\gàosu\to tell; to inform; to let know
141\哥哥\gēge\older brother; CL:個|个[gè],位[wèi]
142\个\gè\individual; this; that; size; classifier for people or objects in general
143\给\gěi\to; for; for the benefit of; to give; to allow; to do sth (for sb); (passive particle)
144\跟\gēn\heel; to follow closely; to go with; to marry sb (of woman); with; towards; as (compared to); from (different from); and (in addition to)
145\根据\gēnjù\according to; based on; basis; foundation; CL:個|个[gè]
146\更\gēng\to change or replace; to experience; one of the five two hour periods into which the night was formerly divided; watch (eg of a sentry or guard)
147\公共汽车\gōnggòngqìchē\bus; CL:輛|辆[liàng],班[bān]
148\公斤\gōngjīn\kilogram (kg)
149\公司\gōngsī\(business) company; company; firm; corporation; incorporated; CL:家[jiā]
150\公园\gōngyuán\public park; CL:場|场[chǎng]
151\工作\gōngzuò\job; work; construction; task; CL:個|个[gè],份[fèn],項|项[xiàng]
152\狗\gǒu\dog; CL:隻|只[zhī],條|条[tiáo]
153\故事\gùshì\old practice; CL:個|个[gè]
154\刮风\guāfēng\to be windy
155\关\guān\mountain pass; to close; to shut; to turn off; to concern; to involve
156\关系\guānxì\relation; relationship; to concern; to affect; to have to do with; guanxi; CL:個|个[gè]
157\关心\guānxīn\to care for sth; caring; concerned
158\关于\guānyú\pertaining to; concerning; regarding; with regards to; about; a matter of
159\贵\guì\expensive; noble; your (name); precious
160\国家\guójiā\country; nation; state; CL:個|个[gè]
161\果汁\guǒzhī\fruit juice
162\过去\guòqu\(in the) past; former; previous; to go over; to pass by
163\过\guò\(experienced action marker); to cross; to go over; to pass (time); to celebrate (a holiday); to live; to get along; excessively; too-; surname Guo
164\还\hái\still; still in progress; still more; yet; even more; in addition; fairly; passably (good); as early as; even; also; else
165\还是\háishì\or; still; nevertheless
166\孩子\háizi\child
167\害怕\hàipà\to be afraid; to be scared
168\汉语\hànyǔ\Chinese language; CL:門|门[mén]
169\好\hǎo\good; well; proper; good to; easy to; very; so; (suffix indicating completion or readiness)
170\好吃\hǎochī\tasty; delicious
171\号\hào\day of a month; (suffix used after) name of a ship; (ordinal) number
172\喝\hē\to drink; to shout (a command); My goodness!
173\和\hé\and; together with; with; sum; union; peace; harmony; surname He; Japanese related; Taiwan pr. hàn
174\河\hé\river; CL:條|条[tiáo],道[dào]
175\黑\hēi\black; dark; abbr. for Heilongjiang 黑龍江|黑龙江 province in northeast China
176\黑板\hēibǎn\blackboard; CL:塊|块[kuài],個|个[gè]
177\很\hěn\(adverb of degree); quite; very; awfully
178\红\hóng\bonus; popular; red; revolutionary
179\后面\hòumian\rear; back; behind; later; afterwards
180\护照\hùzhào\passport; CL:本[běn],個|个[gè]
181\花\huā\flower; blossom; fancy pattern; CL:朵[duǒ],支[zhī],束[shù],把[bǎ],盆[pén],簇[cù]; to spend (money, time); surname Hua
182\花园\huāyuán\garden; CL:座[zuò],個|个[gè]
183\画\huà\to draw; picture; painting; CL:幅[fú],張|张[zhāng]
184\坏\huài\bad; spoiled; broken; to break down
185\欢迎\huānyíng\to welcome; welcome
186\还\huǎn\to pay back; to return; surname Huan
187\环境\huánjìng\environment; circumstances; surroundings; CL:個|个[gè]; ambient
188\换\huàn\change; exchange
189\黄\huáng\yellow; pornographic; to fall through
190\回\huí\to circle; to go back; to turn around; to answer; to return; to revolve; Hui ethnic group (Chinese Muslims); time; classifier for acts of a play; section or chapter (of a classic book)
191\回答\huídá\to reply; to answer; the answer; CL:個|个[gè]
192\会\huì\can; be possible; be able to; will; be likely to; be sure to; to assemble; to meet; to gather; to see; union; group; association; CL:個|个[gè]; a moment (Taiwan pr. for this sense is huǐ)
193\会议\huìyì\meeting; conference; CL:場|场[chǎng],屆|届[jiè]
194\火车站\huǒchēzhàn\train station
195\或者\huòzhě\or; possibly; maybe; perhaps
196\机场\jīchǎng\airport; airfield; CL:家[jiā],處|处[chù]
197\鸡蛋\jīdàn\(chicken) egg; hen's egg; CL:個|个[gè],打[dá]
198\几乎\jīhū\almost; nearly; practically
199\机会\jīhuì\opportunity; chance; occasion; CL:個|个[gè]
200\极\jí\extremely; pole (geography, physics); utmost; top
201\几\jǐ\how much; how many; several; a few
202\记得\jìde\to remember
203\季节\jìjié\time; season; period; CL:個|个[gè]
204\家\jiā\home; family; classifier for families or businesses; refers to the philosophical schools of pre-Han China; noun suffix for specialists in some activity such as musician or revolutionary, corresponds to English -ist, -er, -ary or -ian; surname Jia; CL:個|个[gè]
205\检查\jiǎnchá\inspection; to examine; to inspect; CL:次[cì]
206\简单\jiǎndān\simple; not complicated
207\件\jiàn\item; component; classifier for events, things, clothes etc
208\健康\jiànkāng\health; healthy
209\见面\jiànmiàn\to meet; to see sb; CL:次[cì]
210\讲\jiǎng\to speak; to explain; to negotiate; to emphasise; to be particular about; as far as sth is concerned; speech; lecture
211\教\jiāo\to teach
212\脚\jiǎo\foot; leg; base; kick; CL:雙|双[shuāng],隻|只[zhī]
213\角\jiǎo\angle; corner; horn; horn-shaped; unit of money equal to 0.1 yuan; CL:個|个[gè]
214\叫\jiào\to shout; to call; to order; to ask; to be called; by (indicates agent in the passive mood)
215\教室\jiàoshì\classroom; CL:間|间[jiān]
216\接\jiē\to receive; to answer (the phone); to meet or welcome sb; to connect; to catch; to join; to extend; to take one's turn on duty; take over for sb
217\街道\jiēdào\street; CL:條|条[tiáo]
218\结婚\jiéhūn\to marry; to get married; CL:次[cì]
219\结束\jiéshù\termination; to finish; to end; to conclude; to close
220\节目\jiémù\program; item (on a program); CL:臺|台[tái],個|个[gè],套[tào]
221\节日\jiérì\holiday; festival; CL:個|个[gè]
222\姐姐\jiějie\older sister; CL:個|个[gè]
223\解决\jiějué\to settle (a dispute); to resolve; to solve
224\借\jiè\to lend; to borrow; excuse; pretext; by means of; to seize (an opportunity); to take (an opportunity)
225\介绍\jièshào\to present; to introduce; to recommend; to suggest; to let know; to brief
226\今天\jīntiān\today; at the present; now
227\进\jìn\to advance; to enter; to come (or go) into; to receive or admit; to eat or drink; to submit or present; (used after a verb) into, in; to score a goal
228\近\jìn\near; close to; approximately
229\经常\jīngcháng\day to day; everyday; daily; frequently; constantly; regularly; often
230\经过\jīngguò\to pass; to go through; process; course; CL:個|个[gè]
231\经理\jīnglǐ\manager; director; CL:個|个[gè],位[wèi],名[míng]
232\九\jiǔ\nine; 9
233\久\jiǔ\(long) time; (long) duration of time
234\旧\jiù\old; opposite: new 新; former; worn (with age)
235\就\jiù\at once; right away; only; just (emphasis); as early as; already; as soon as; then; in that case; as many as; even if; to approach; to move towards; to undertake; to engage in; to suffer; subjected to; to accomplish; to take advantage of; to go with (of foods); with regard to; concerning
236\举行\jǔxíng\to hold (a meeting, ceremony etc)
237\句子\jùzi\sentence; CL:個|个[gè]
238\觉得\juéde\to think; to feel
239\决定\juédìng\to decide (to do something); to resolve; decision; CL:個|个[gè],項|项[xiàng]; certainly
240\咖啡\kāfēi\coffee; CL:杯[bēi]
241\开\kāi\to open; to start; to turn on; to boil; to write out (a medical prescription); to operate (vehicle); abbr. for 開爾文|开尔文 degrees Kelvin
242\开始\kāishǐ\to begin; beginning; to start; initial; CL:個|个[gè]
243\看\kàn\to see; to look at; to read; to watch; to consider; to regard as; to view as; to treat as; to judge; (after repeated verb) to give it a try; depending on (how you're judging); to visit; to call on; to treat (an illness); to look after; Watch out! (for a danger)
244\看见\kànjiàn\to see; to catch sight of
245\考试\kǎoshì\exam; CL:次[cì]
246\渴\kě\thirsty
247\可爱\kěài\amiable; cute; lovely
248\可能\kěnéng\might (happen); possible; probable; possibility; probability; maybe; perhaps; CL:個|个[gè]
249\可以\kěyǐ\can; may; possible; able to
250\刻\kè\quarter (hour); moment; to carve; to engrave; to cut; oppressive; classifier for short time intervals
251\课\kè\subject; course; class; lesson; CL:堂[táng],节|節[jié],門|门[mén]
252\客人\kèrén\visitor; guest; customer; client; CL:位[wèi]
253\空调\kōngtiáo\air conditioning
254\口\kǒu\mouth; classifier for things with mouths (people, domestic animals, cannons, wells etc)
255\哭\kū\to cry; to weep
256\裤子\kùzi\trousers; pants; CL:條|条[tiáo]
257\块\kuài\lump (of earth); chunk; piece; classifier for pieces of cloth, cake, soap etc; colloquial word for yuan (or other unit of currency such as Hong Kong or US dollar etc), usually as 塊錢|块钱
258\快\kuài\rapid; quick; speed; rate; soon; almost; to make haste; clever; sharp (of knives or wits); forthright; plain-spoken; gratified; pleased; pleasant
259\快乐\kuàilè\happy; merry
260\筷子\kuàizi\chopsticks; CL:對|对[duì],根[gēn],把[bǎ],雙|双[shuāng]
261\来\lái\to come; to arrive; to come round; ever since; next
262\蓝\lán\blue; indigo plant
263\老\lǎo\prefix used before the surname of a person or a numeral indicating the order of birth of the children in a family or to indicate affection or familiarity; old (of people); venerable (person); experienced; of long standing; always; all the time; of the past; very; outdated; (of meat etc) tough
264\老师\lǎoshī\teacher; CL:個|个[gè],位[wèi]
265\了\le\(modal particle intensifying preceding clause); (completed action marker)
266\累\lèi\tired; weary; to strain; to wear out; to work hard
267\冷\lěng\cold
268\离\lí\to leave; to part from; to be away from; (in giving distances) from; without (sth); independent of; one of the eight trigrams of the Book of Changes representing fire (old)
269\离开\líkāi\to depart; to leave
270\里\lǐ\lining; interior; inside; internal; also written 裡|里 [lǐ]
271\礼物\lǐwù\gift; present; CL:件[jiàn],個|个[gè],份[fèn]
272\历史\lìshǐ\history; CL:門|门[mén],段[duàn]
273\脸\liǎn\face; CL:張|张[zhāng],個|个[gè]
274\练习\liànxí\exercise; drill; practice; CL:個|个[gè]
275\两\liǎng\both; two; ounce; some; a few; tael; weight equal to grams
276\辆\liàng\classifier for vehicles
277\了解\liǎojiě\to understand; to realize; to find out
278\邻居\línjū\neighbor; next door; CL:個|个[gè]
279\零\líng\zero; nought; zero sign; fractional; fragmentary; odd (of numbers); (placed between two numbers to indicate a smaller quantity followed by a larger one); fraction; (in mathematics) remainder (after division); extra; to wither and fall; to wither
280\六\liù\six; 6
281\楼\lóu\house with more than 1 story; storied building; floor; CL:層|层[céng],座[zuò],棟|栋[dòng]
282\路\lù\road; path; way; CL:條|条[tiáo]
283\旅游\lǚyóu\trip; journey; tourism; travel; tour
284\绿\lǜ\green
285\妈妈\māma\mama; mommy; mother; CL:個|个[gè],位[wèi]
286\马\mǎ\horse; abbr. for Malaysia 馬來西亞|马来西亚
287\马上\mǎshàng\at once, right away, immediately; lit. on horseback
288\吗\ma\(question tag)
289\买\mǎi\to buy; to purchase
290\卖\mài\to sell; to betray; to spare no effort; to show off or flaunt
291\满意\mǎnyì\satisfied; pleased; to one's satisfaction
292\慢\màn\slow
293\忙\máng\busy; hurriedly
294\猫\māo\cat; CL:隻|只[zhī]
295\帽子\màozi\hat; cap; CL:頂|顶[dǐng]
296\没\méi\(negative prefix for verbs); have not; not
297\没关系\méiguānxi\it doesn't matter
298\每\měi\each; every
299\妹妹\mèimei\younger sister; fig. younger woman (esp. girl friend or rival); CL:個|个[gè]
300\门\mén\gate; door; CL:扇[shàn]; gateway; doorway; CL:個|个[gè]; opening; valve; switch; way to do something; knack; family; house; (religious) sect; school (of thought); class; category; phylum or division (taxonomy); classifier for large guns; classifier for lessons, subjects, branches of technology
301\米\mǐ\rice; CL:粒[lì]; meter (classifier)
302\米饭\mǐfàn\(cooked) rice
303\面包\miànbāo\bread; CL:片[piàn],袋[dài],塊|块[kuài]
304\面条\miàntiáo\noodles
305\明白\míngbai\clear; obvious; unequivocal; to understand; to realize
306\明天\míngtiān\tomorrow
307\名字\míngzi\name (of a person or thing); CL:個|个[gè]
308\拿\ná\to hold; to seize; to catch; to apprehend; to take
309\哪\nǎ\how; which
309\哪儿\nǎr\where?; wherever; anywhere
310\那\nà\that; those; then (in that case); commonly pr. nèi before a classifier, esp. in Beijing
310\那儿\nàr\there
311\奶奶\nǎinai\(informal) father's mother; paternal grandmother; CL:位[wèi]
312\南\nán\south
313\男人\nánrén\a man; a male; men; CL:個|个[gè]
314\难\nán\difficult (to...); problem; difficulty; difficult; not good
315\难过\nánguò\feel sorry; be grieved
316\呢\ne\(question particle for subjects already mentioned)
317\能\néng\to be able to; to be capable of; ability; capability; able; capable; can possibly; (usually used in the negative) to have the possibility of
318\你\nǐ\you (informal, as opposed to polite 您[nín])
319\年\nián\year; CL:個|个[gè]
320\年级\niánjí\grade; CL:個|个[gè]
321\年轻\niánqīng\young
322\鸟\niǎo\bird; CL:隻|只[zhī],群[qún]
323\您\nín\you (polite, as opposed to informal 你[nǐ])
324\牛奶\niúnǎi\cow's milk; CL:瓶[píng],杯[bēi]
325\努力\nǔlì\great effort; to strive; to try hard
326\女儿\nǚér\daughter
327\女人\nǚrén\woman
328\爬山\páshān\to climb a mountain; to mountaineer; hiking; mountaineering
329\盘子\pánzi\tray; plate; dish; CL:個|个[gè]
330\旁边\pángbiān\lateral; side; to the side; beside
331\胖\pàng\fat; plump
332\跑步\pǎobù\to walk quickly; to march; to run
333\朋友\péngyou\friend; CL:個|个[gè],位[wèi]
334\啤酒\píjiǔ\beer; CL:杯[bēi],瓶[píng],罐[guàn],桶[tǒng],缸[gāng]
335\便宜\piányi\small advantages; to let sb off lightly; cheap; inexpensive
336\票\piào\ticket; ballot; bank note; CL:張|张[zhāng]; person held for ransom; amateur performance of Chinese opera; classifier for shipments and business transactions (topolect)
337\漂亮\piàoliang\pretty; beautiful
338\苹果\píngguǒ\apple; CL:個|个[gè],顆|颗[kē]
339\葡萄\pútao\grape
340\普通话\pǔtōnghuà\Mandarin (common language); Putonghua (common speech of the Chinese language); ordinary speech
341\七\qī\seven; 7
342\妻子\qīzi\wife; CL:個|个[gè]
343\其实\qíshí\actually, in fact, really
344\其他\qítā\other; the others; else; other than (that person); in addition to the person mentioned above
345\骑\qí\to ride (an animal or bike); to sit astride
347\起床\qǐchuáng\to get up
348\千\qiān\thousand
349\铅笔\qiānbǐ\(lead) pencil; CL:支[zhī],枝[zhī],桿|杆[gǎn]
350\钱\qián\coin; money; CL:筆|笔[bǐ]
351\前面\qiánmiàn\ahead; in front; preceding; above
352\清楚\qīngchu\clear; clearly understood; distinct
353\晴\qíng\clear; fine (weather)
354\请\qǐng\to ask; to invite; please (do sth); to treat (to a meal etc); to request
355\秋\qiū\autumn; fall; harvest time; a swing; surname Qiu
356\去\qù\to go; to go to (a place); to cause to go or send (sb); to remove; to get rid of; (when used either before or after a verb) to go in order to do sth; to be apart from in space or time; (after a verb of motion indicates movement away from the speaker); (used after certain verbs to indicate detachment or separation); (of a time or an event etc) just passed or elapsed
356\奇怪\qíguài\strange; odd
357\去年\qùnián\last year
358\裙子\qúnzi\skirt; CL:條|条[tiáo]
359\然后\ránhòu\after; then (afterwards); after that; afterwards
360\让\ràng\to yield; to permit; to let sb do sth; to have sb do sth
361\热\rè\heat; to heat up; fervent; hot (of weather); warm up
362\热情\rèqíng\cordial; enthusiastic; passion; passionate; passionately
363\人\rén\man; person; people; CL:個|个[gè],位[wèi]
364\认识\rènshi\to know; to recognize; to be familiar with; acquainted with sth; knowledge; understanding; awareness; cognition
365\认为\rènwéi\to believe; to think; to consider; to feel
366\认真\rènzhēn\conscientious; earnest; serious; to take seriously; to take to heart
367\日\rì\sun; day; date, day of the month; abbr. for 日本|日本 Japan
368\容易\róngyì\easy; likely; liable (to)
369\如果\rúguǒ\if; in case; in the event that
370\三\sān\three; 3
371\伞\sǎn\umbrella; parasol; CL:把[bǎ]
372\商店\shāngdiàn\store; shop; CL:家[jiā],個|个[gè]
373\上\shàng\on; on top; upon; first (of multiple parts); previous; last; upper; higher; above; to climb; to go into; to go up; to attend (class or university)
374\上班\shàngbān\to go to work; to be on duty; to start work; to go to the office
375\上网\shàngwǎng\to be on the internet; to stretch a net (in a sports game or for covering sth); to be netted (of fish)
376\上午\shàngwǔ\morning; CL:個|个[gè]
377\少\shǎo\few; little; lack
378\谁\shéi\who; also pronounced shuí
379\身体\shēntǐ\(human) body; health; CL:個|个[gè]
380\什么\shénme\what?; who?; something; anything
381\生病\shēngbìng\to fall ill; to sicken
382\生气\shēngqì\angry; mad; offended; animated; to get angry; to be enraged; to take offense; animation
383\生日\shēngrì\birthday; CL:個|个[gè]
384\声音\shēngyīn\voice; sound; CL:個|个[gè]
385\十\shí\ten; 1
386\时候\shíhou\time; length of time; moment; period
387\时间\shíjiān\time; period; CL:段[duàn]
388\使\shǐ\to make; to cause; to enable; to use; to employ; to send; to instruct sb to do sth; envoy; messenger
389\是\shì\is; are; am; yes; to be
390\世界\shìjiè\world; CL:個|个[gè]
391\事情\shìqíng\affair; matter; thing; business; CL:件[jiàn],樁|桩[zhuāng]
392\手表\shǒubiǎo\wrist watch; CL:塊|块[kuài],隻|只[zhī],個|个[gè]
393\手机\shǒujī\cell phone; cellular phone; mobile phone; CL:部[bù]
394\瘦\shòu\tight; thin; lean
395\书\shū\book; letter; CL:本[běn],冊|册[cè],部[bù]; see also 書經|书经 Book of History
396\舒服\shūfu\comfortable; feeling well
397\叔叔\shūshu\father's younger brother; uncle; Taiwan pr. shú shu; CL:個|个[gè]
398\树\shù\tree; CL:棵[kē]
399\数学\shùxué\mathematics; mathematical
400\刷牙\shuāyá\to brush teeth
401\双\shuāng\two; double; pair; both
402\水\shuǐ\water; river; liquid; beverage; additional charges or income; (of clothes) classifier for number of washes
403\水果\shuǐguǒ\fruit; CL:個|个[gè]
404\水平\shuǐpíng\level (of achievement etc); standard; horizontal
405\睡觉\shuìjiào\to go to bed; to go to sleep
406\说话\shuōhuà\to speak; to say; to talk; to gossip; to tell stories; talk; word
